date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:52	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2004%20Feb%202022%2014:57:49%20GMT	https://cbdmedicaltherapy.com/	D:/MIS%20SITIOS%20WEB%20DESCARGADOS%20HTML/cbdmedicaltherapy.com/cbdmedicaltherapy.com/cbdmedicaltherapy.com/index.html	(from )
10:57:53	122/122	---MC-	200	added ('OK')	text/plain	date:Fri,%2004%20Feb%202022%2014:57:51%20GMT	https://cbdmedicaltherapy.com/robots.txt		(from )
10:57:58	199253/199253	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Feb%202022%2014:57:55%20GMT	https://cbdmedicaltherapy.com/index.php/es/inicio/	D:/MIS%20SITIOS%20WEB%20DESCARGADOS%20HTML/cbdmedicaltherapy.com/cbdmedicaltherapy.com/cbdmedicaltherapy.com/index.php/es/inicio/index.html	(from https://cbdmedicaltherapy.com/)
10:57:59	71746/71746	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Jan%202022%2018:35:54%20GMT	https://cbdmedicaltherapy.com/wp-content/themes/astra/assets/css/minified/style.min.css?ver=3.7.7	D:/MIS%20SITIOS%20WEB%20DESCARGADOS%20HTML/cbdmedicaltherapy.com/cbdmedicaltherapy.com/cbdmedicaltherapy.com/wp-content/themes/astra/assets/css/minified/style.minac9e.css	(from https://cbdmedicaltherapy.com/index.php/es/inicio/)
10:58:00	3304/3304	---M--	200	added ('OK')	font/woff	date:Mon,%2024%20Jan%202022%2018:35:54%20GMT	https://cbdmedicaltherapy.com/wp-content/themes/astra/assets/fonts/astra.woff	D:/MIS%20SITIOS%20WEB%20DESCARGADOS%20HTML/cbdmedicaltherapy.com/cbdmedicaltherapy.com/cbdmedicaltherapy.com/wp-content/themes/astra/assets/fonts/astra.woff	(from https://cbdmedicaltherapy.com/index.php/es/inicio/)
10:58:00	3412/3412	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Jan%202022%2018:35:54%20GMT	https://cbdmedicaltherapy.com/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=3.7.7	D:/MIS%20SITIOS%20WEB%20DESCARGADOS%20HTML/cbdmedicaltherapy.com/cbdmedicaltherapy.com/cbdmedicaltherapy.com/wp-content/themes/astra/assets/css/minified/menu-animation.minac9e.css	(from https://cbdmedicaltherapy.com/index.php/es/inicio/)
10:58:01	79227/79227	---MCZ	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2003:15:32%20GMT	https://c0.wp.com/c/5.9/wp-includes/css/dist/block-library/style.min.css	D:/MIS%20SITIOS%20WEB%20DESCARGADOS%20HTML/cbdmedicaltherapy.com/cbdmedicaltherapy.com/c0.wp.com/c/5.9/wp-includes/css/dist/block-library/style.min.css	(from https://cbdmedicaltherapy.com/index.php/es/inicio/)
10:58:01	1308/1308	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2027%20Aug%202021%2014:05:40%20GMT	https://cbdmedicaltherapy.com/index.php/es/feed/	D:/MIS%20SITIOS%20WEB%20DESCARGADOS%20HTML/cbdmedicaltherapy.com/cbdmedicaltherapy.com/cbdmedicaltherapy.com/index.php/es/feed/index.html	(from https://cbdmedicaltherapy.com/index.php/es/inicio/)
10:58:02	11256/11256	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202020%2015:53:06%20GMT	https://c0.wp.com/c/5.9/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	D:/MIS%20SITIOS%20WEB%20DESCARGADOS%20HTML/cbdmedicaltherapy.com/cbdmedicaltherapy.com/c0.wp.com/c/5.9/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	(from https://cbdmedicaltherapy.com/index.php/es/inicio/)
10:58:02	868/868	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2022%20Nov%202021%2021:23:27%20GMT	https://cbdmedicaltherapy.com/index.php/es/comments/feed/	D:/MIS%20SITIOS%20WEB%20DESCARGADOS%20HTML/cbdmedicaltherapy.com/cbdmedicaltherapy.com/cbdmedicaltherapy.com/index.php/es/comments/feed/index.html	(from https://cbdmedicaltherapy.com/index.php/es/inicio/)
10:58:02	4186/4186	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2020:45:02%20GMT	https://c0.wp.com/c/5.9/wp-includes/js/mediaelement/wp-mediaelement.min.css	D:/MIS%20SITIOS%20WEB%20DESCARGADOS%20HTML/cbdmedicaltherapy.com/cbdmedicaltherapy.com/c0.wp.com/c/5.9/wp-includes/js/mediaelement/wp-mediaelement.min.css	(from https://cbdmedicaltherapy.com/index.php/es/inicio/)
10:58:02	4933/4933	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Feb%202022%2018:43:03%20GMT	https://cbdmedicaltherapy.com/wp-content/plugins/woo-gutenberg-products-block/build/wc-blocks-vendors-style.css?ver=6.9.0	D:/MIS%20SITIOS%20WEB%20DESCARGADOS%20HTML/cbdmedicaltherapy.com/cbdmedicaltherapy.com/cbdmedicaltherapy.com/wp-content/plugins/woo-gutenberg-products-block/build/wc-blocks-vendors-stylee1b2.css	(from https://cbdmedicaltherapy.com/index.php/es/inicio/)
10:58:04	209831/209831	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Feb%202022%2018:43:03%20GMT	https://cbdmedicaltherapy.com/wp-content/plugins/woo-gutenberg-products-block/build/wc-blocks-style.css?ver=6.9.0	D:/MIS%20SITIOS%20WEB%20DESCARGADOS%20HTML/cbdmedicaltherapy.com/cbdmedicaltherapy.com/cbdmedicaltherapy.com/wp-content/plugins/woo-gutenberg-products-block/build/wc-blocks-stylee1b2.css	(from https://cbdmedicaltherapy.com/index.php/es/inicio/)
10:58:04	17307/17307	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Jan%202022%2018:35:54%20GMT	https://cbdmedicaltherapy.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout.min.css?ver=3.7.7	D:/MIS%20SITIOS%20WEB%20DESCARGADOS%20HTML/cbdmedicaltherapy.com/cbdmedicaltherapy.com/cbdmedicaltherapy.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout.minac9e.css	(from https://cbdmedicaltherapy.com/index.php/es/inicio/)
10:58:05	5985/5985	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Jan%202022%2018:35:54%20GMT	https://cbdmedicaltherapy.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen.min.css?ver=3.7.7	D:/MIS%20SITIOS%20WEB%20DESCARGADOS%20HTML/cbdmedicaltherapy.com/cbdmedicaltherapy.com/cbdmedicaltherapy.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen.minac9e.css	(from https://cbdmedicaltherapy.com/index.php/es/inicio/)
10:58:06	104928/104928	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Jan%202022%2018:35:54%20GMT	https://cbdmedicaltherapy.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.min.css?ver=3.7.7	D:/MIS%20SITIOS%20WEB%20DESCARGADOS%20HTML/cbdmedicaltherapy.com/cbdmedicaltherapy.com/cbdmedicaltherapy.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce.minac9e.css	(from https://cbdmedicaltherapy.com/index.php/es/inicio/)
10:58:07	776/776	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Feb%202022%2018:42:56%20GMT	https://cbdmedicaltherapy.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.9	D:/MIS%20SITIOS%20WEB%20DESCARGADOS%20HTML/cbdmedicaltherapy.com/cbdmedicaltherapy.com/cbdmedicaltherapy.com/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor544c.css	(from https://cbdmedicaltherapy.com/index.php/es/inicio/)
10:58:08	19050/19050	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Feb%202022%2019:47:28%20GMT	https://cbdmedicaltherapy.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.14.0	D:/MIS%20SITIOS%20WEB%20DESCARGADOS%20HTML/cbdmedicaltherapy.com/cbdmedicaltherapy.com/cbdmedicaltherapy.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mine900.css	(from https://cbdmedicaltherapy.com/index.php/es/inicio/)
10:58:08	13805/13805	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Feb%202022%2019:47:28%20GMT	https://cbdmedicaltherapy.com/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.5.5	D:/MIS%20SITIOS%20WEB%20DESCARGADOS%20HTML/cbdmedicaltherapy.com/cbdmedicaltherapy.com/cbdmedicaltherapy.com/wp-content/plugins/elementor/assets/css/frontend-legacy.mina25a.css	(from https://cbdmedicaltherapy.com/index.php/es/inicio/)
10:58:09	137254/137254	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Feb%202022%2019:47:28%20GMT	https://cbdmedicaltherapy.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.5.5	D:/MIS%20SITIOS%20WEB%20DESCARGADOS%20HTML/cbdmedicaltherapy.com/cbdmedicaltherapy.com/cbdmedicaltherapy.com/wp-content/plugins/elementor/assets/css/frontend.mina25a.css	(from https://cbdmedicaltherapy.com/index.php/es/inicio/)
